ds,y
3/24/2020,230
3/23/2020,182
3/22/2020,118
3/21/2020,136
3/20/2020,180
3/19/2020,143
3/18/2020,145
3/17/2020,119
3/16/2020,83
3/15/2020,69
3/14/2020,71
3/13/2020,152
3/12/2020,151
3/11/2020,196
3/10/2020,98
3/9/2020,101
3/8/2020,46
3/7/2020,33
3/6/2020,59
3/5/2020,25
3/4/2020,30
3/3/2020,13
3/2/2020,5
3/1/2020,0
2/29/2020,3
2/28/2020,8
2/27/2020,1
2/26/2020,1
2/25/2020,0
2/24/2020,0
2/23/2020,0
2/22/2020,0
2/21/2020,0
2/20/2020,0
2/19/2020,0
2/18/2020,0
2/17/2020,0
2/16/2020,0
2/15/2020,0
2/14/2020,0
2/13/2020,0
2/12/2020,0
2/11/2020,0
2/10/2020,0
2/9/2020,0
2/8/2020,0
2/7/2020,0
2/6/2020,0
2/5/2020,0
2/4/2020,1
